province_std,region,province_original,year,nationality,total_detentions
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,Bangladesh,30
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Bélgica,30
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Bolivia,1740
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Brasil,310
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Bulgaría,50
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Camerún,240
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Chile,130
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,China,70
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Colombia,1010
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Cuba,110
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Ecuador,610
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,Filipinas,30
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Francia,180
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Gambia,150
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Ghana,30
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Guinea Bisau,550
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Guinea Ecuatorial,80
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Holanda,0
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,India,0
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,Irán,10
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Italia,60
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Lituania,90
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Mali,50
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Marruecos,5210
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Nigeria,580
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,Paquistán,40
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Paraguay,410
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Perú,310
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Polonia,110
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Portugal,470
Bizkaia,CONTINENTE EUROPEO,Bizkaia,2012,Reino Unido,10
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Rep. Dominicana,110
Bizkaia,CONTINENTE AFRICANO,Bizkaia,2012,Resto África,540
Bizkaia,CONTINENTE AMERICANO,Bizkaia,2012,Resto América,180
Bizkaia,CONTINENTE ASIÁTICO,Bizkaia,2012,Resto de Asia,90
